date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Narsingdi,Sunamganj,Cox's Bazar,Jaipurhat,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-09,4,5,23,0,2,18,0,9,1,1,2,2,728,0,4,16,1,20,4,2,125,7,2,5,1,4,1,3,3,6,0,4,14,2,1,2,4,10,1,3,7,8,1,1,1,2,3,1,2,1,5,5,3,13,0,2,6,3,0,28,4,9,14,1,0
2020-06-10,13,3,18,0,3,5,0,7,2,0,2,3,574,0,7,4,2,6,5,2,113,1,0,1,3,8,3,10,2,2,2,1,6,3,1,3,0,15,2,3,2,5,0,1,1,2,0,3,0,7,4,2,3,1,1,1,2,1,4,10,6,4,8,1,4
2020-06-11,5,2,28,1,6,7,0,5,3,0,0,2,464,0,3,3,1,8,0,0,61,0,3,1,3,4,1,2,0,0,1,0,8,0,1,0,5,6,1,4,0,3,0,1,2,2,4,1,2,2,2,4,3,2,0,2,2,1,1,5,11,1,7,0,0
2020-06-12,7,0,20,0,3,3,0,5,0,0,1,1,405,0,2,2,1,15,1,3,66,1,1,5,2,8,4,0,3,0,1,3,14,1,0,2,2,2,0,2,4,2,1,3,0,1,2,1,0,1,2,7,3,6,0,0,3,1,1,6,0,2,3,2,0
2020-06-13,9,0,12,1,1,3,1,4,3,0,4,0,352,1,4,3,0,7,3,1,52,0,1,2,0,5,3,0,2,0,2,1,5,3,0,2,1,5,0,5,2,1,1,1,0,2,0,1,1,0,3,0,3,1,0,0,2,2,1,7,2,1,4,0,0
2020-06-14,2,1,11,1,1,4,1,4,1,0,0,1,357,1,1,6,1,10,1,1,65,1,0,0,1,5,4,2,4,1,1,0,6,0,0,2,3,1,3,7,1,0,2,3,3,1,0,3,0,1,0,2,2,8,2,0,2,2,4,6,1,1,3,1,0
2020-06-15,1,1,14,1,4,4,0,2,1,0,0,0,436,1,3,8,0,9,5,1,77,0,1,2,4,6,2,0,2,0,3,2,12,1,0,2,1,8,0,0,1,3,0,0,0,0,1,0,0,2,1,3,0,9,2,0,1,0,1,3,7,2,3,0,1
2020-06-16,5,3,13,0,4,2,1,0,2,0,3,3,389,0,2,2,2,7,2,2,79,1,0,6,2,10,1,3,3,1,6,1,8,0,2,4,3,8,0,4,0,6,1,0,0,1,0,0,0,0,6,2,2,4,0,0,1,0,3,3,7,1,1,0,3
2020-06-17,5,3,8,0,5,1,0,8,0,5,0,1,363,2,5,7,0,14,0,2,61,2,0,2,2,1,0,0,4,1,4,4,8,0,0,2,3,9,0,8,0,8,0,1,0,2,6,2,0,2,1,2,0,1,1,1,1,1,2,5,2,1,2,0,3
2020-06-18,13,8,57,1,12,9,0,6,0,9,1,3,1070,2,13,14,3,31,2,7,225,3,5,7,5,15,7,5,10,3,13,3,19,2,2,4,6,15,3,8,14,6,1,1,5,4,7,1,1,7,16,6,6,6,3,1,2,4,11,22,24,5,15,1,3
2020-06-19,7,3,18,2,6,2,0,5,3,3,1,2,585,0,5,5,0,11,2,4,99,3,2,4,4,11,3,3,1,1,2,1,10,1,2,5,5,3,0,6,1,3,0,0,0,0,0,2,1,3,2,6,1,2,1,1,2,3,5,12,11,5,10,0,0
2020-06-20,3,5,17,3,2,0,0,8,5,0,0,1,468,1,5,0,1,6,0,1,85,0,1,2,0,7,3,3,4,1,5,0,10,0,0,1,5,8,1,3,0,3,1,0,1,0,0,1,1,1,4,11,1,4,0,2,0,0,1,5,5,0,8,1,0
2020-06-21,2,3,10,1,2,2,0,3,0,0,0,0,338,0,7,5,2,9,1,1,62,1,0,2,1,6,3,1,3,0,1,0,3,0,0,8,5,3,1,5,1,10,0,0,0,2,0,0,1,1,5,1,4,1,2,0,0,2,1,5,2,1,8,2,2
2020-06-22,8,3,10,2,4,3,1,9,3,0,0,0,417,1,1,3,2,8,0,0,47,4,2,2,0,4,3,0,2,2,3,1,8,0,1,1,2,3,1,1,1,8,0,2,1,0,4,0,0,2,1,5,1,6,1,0,0,0,2,2,1,0,2,1,1
2020-06-23,2,2,8,0,0,3,0,3,0,0,3,1,327,0,1,3,0,13,1,2,48,1,1,2,2,4,3,2,2,2,2,0,10,1,1,0,2,12,1,1,4,6,1,1,1,2,1,0,1,4,6,4,4,3,0,0,4,5,12,1,3,6,3,2,0
2020-06-24,6,1,6,0,1,2,0,7,2,0,0,2,291,1,1,0,1,7,0,0,45,2,0,0,1,5,1,0,4,1,1,0,2,0,0,2,1,2,1,6,3,5,0,2,0,3,1,1,1,4,4,1,2,1,1,0,0,1,1,5,4,1,4,0,0
2020-06-25,13,5,17,1,4,0,0,5,0,1,3,2,273,0,3,1,0,3,1,3,41,2,1,1,3,4,0,1,2,0,3,0,3,0,0,3,5,2,1,4,0,1,2,0,3,1,1,0,1,2,1,0,1,0,0,0,0,2,1,2,2,0,2,1,0
2020-06-26,2,3,22,0,0,1,0,2,0,0,0,0,243,0,1,7,0,3,1,0,38,1,0,0,1,3,1,0,0,0,0,3,3,0,1,0,2,3,1,6,2,1,0,1,2,0,1,0,1,1,2,2,2,1,1,2,0,0,1,2,2,1,4,1,3
2020-06-27,0,3,19,1,6,4,0,4,1,3,0,1,216,0,1,4,1,5,2,1,24,0,2,1,0,1,0,0,3,0,1,1,5,0,0,1,0,3,0,1,0,3,3,0,0,1,0,0,0,0,2,2,0,0,1,0,2,0,0,1,3,4,4,0,3
