date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Cox's Bazar,Narsingdi,Rangpur,Jaipurhat,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-02,2,0,13,0,1,3,0,2,2,0,0,1,296,0,1,0,0,6,3,0,74,0,0,1,0,1,3,2,0,0,1,0,3,0,0,1,0,6,0,1,0,2,0,2,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,6,0,0,1,0,0
2020-06-03,0,1,12,0,1,1,0,2,1,0,1,1,349,0,4,1,0,4,0,0,78,0,5,0,0,1,1,3,1,1,0,0,6,0,0,0,5,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,1,2,0,0,2,0,3,3,1,0,1,0,2
2020-06-04,5,8,50,3,2,8,1,9,2,1,2,1,668,1,5,6,2,16,2,1,208,0,0,1,7,3,11,3,8,4,2,0,16,1,0,0,2,20,0,9,2,3,2,0,3,1,3,1,4,1,8,4,3,1,0,3,0,0,0,15,2,6,6,0,2
2020-06-05,12,4,139,0,8,17,1,27,4,3,2,2,1396,2,12,17,5,42,2,10,369,5,6,5,6,15,18,8,13,1,6,3,51,0,1,8,7,32,1,16,10,9,7,2,4,1,7,3,4,7,8,17,2,8,3,4,4,4,9,34,10,12,22,3,4
2020-06-06,9,5,67,5,0,12,2,11,4,1,3,8,1085,1,13,20,2,34,5,5,273,6,3,4,4,13,10,6,8,1,0,1,37,0,3,8,4,11,1,6,6,7,1,1,2,3,9,3,1,2,14,9,1,12,4,2,1,0,7,36,3,2,13,0,3
2020-06-07,6,4,60,0,12,14,5,15,3,1,1,3,1121,1,16,29,3,36,3,4,265,2,1,7,7,12,12,18,11,3,4,1,34,1,1,5,6,25,0,6,3,10,4,3,7,2,6,1,3,1,8,11,3,7,5,5,3,2,10,25,9,3,8,6,4
2020-06-08,10,1,46,0,2,8,1,14,6,3,7,3,815,1,10,8,4,26,2,4,172,1,2,3,3,9,12,6,6,0,2,1,28,4,1,1,8,13,2,7,5,3,2,2,2,3,6,1,3,1,9,9,2,8,2,1,1,0,9,17,4,1,13,0,0
2020-06-09,4,2,33,1,1,15,0,13,0,2,2,0,633,1,5,12,3,17,1,2,156,1,2,2,0,4,9,0,2,1,1,4,15,0,2,4,2,8,0,4,9,3,0,1,0,2,5,0,3,1,6,11,1,12,0,1,1,1,3,12,7,1,9,0,1
2020-06-10,6,1,25,3,9,9,0,9,0,3,1,1,566,0,7,5,2,10,4,0,105,1,0,4,3,8,2,5,2,1,5,3,6,1,2,2,2,21,3,5,2,11,0,0,3,2,3,2,1,2,5,5,3,3,0,0,1,1,3,10,1,4,6,1,2
2020-06-11,3,1,25,6,5,3,0,2,4,2,1,0,492,1,8,2,0,9,2,0,79,1,1,4,2,5,1,2,1,1,1,0,8,0,0,1,3,9,0,4,0,3,3,1,1,3,4,0,1,2,2,4,3,3,1,1,1,0,4,10,8,0,3,2,2
2020-06-12,2,0,19,0,4,4,1,3,1,0,0,0,397,1,1,3,0,14,4,2,82,1,1,1,1,4,6,4,2,0,1,3,7,2,2,2,3,11,0,1,3,1,1,0,0,2,1,0,1,2,2,5,0,5,0,0,0,0,0,3,3,2,1,2,0
2020-06-13,5,1,19,0,3,2,1,4,1,0,1,3,388,0,7,7,0,5,6,3,87,0,1,0,0,3,4,0,3,0,0,1,8,2,1,2,1,8,0,3,1,3,5,3,2,1,3,3,1,1,1,6,3,1,0,0,0,1,2,7,5,2,7,0,1
2020-06-14,5,0,10,1,0,2,0,7,0,0,0,3,393,0,5,3,1,8,0,2,78,0,0,4,0,5,8,1,2,0,1,1,11,0,0,1,2,6,2,8,0,5,4,0,0,1,1,2,1,1,7,4,3,4,0,1,2,0,5,9,6,1,3,0,1
2020-06-15,2,5,21,1,3,3,0,4,2,2,1,0,412,1,4,4,1,12,0,1,82,1,0,6,4,0,5,1,1,1,1,0,11,1,1,1,3,9,1,1,1,2,0,0,0,1,2,1,2,4,2,5,1,7,0,0,1,1,0,2,5,2,9,1,0
2020-06-16,3,1,11,3,4,6,0,2,1,0,2,6,404,0,6,2,2,7,3,0,76,0,2,1,1,10,0,3,6,0,0,1,6,0,2,1,2,2,0,6,1,1,1,0,0,2,1,0,1,0,3,4,1,2,0,0,0,1,2,1,9,1,4,0,4
2020-06-17,1,1,14,1,2,6,0,4,0,5,2,2,377,1,2,4,0,4,1,2,67,3,0,2,0,4,3,1,1,0,0,0,9,1,0,3,4,10,0,0,2,1,1,0,1,0,4,0,1,0,3,3,3,2,0,0,0,2,1,3,3,0,4,0,1
2020-06-18,7,11,72,0,4,11,2,7,4,7,3,2,1017,3,14,17,1,31,2,5,255,3,3,5,8,16,12,13,10,1,8,1,14,3,3,2,1,12,2,10,9,5,2,1,3,1,5,3,2,3,17,12,3,3,2,3,2,4,7,18,18,2,21,1,2
