date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Rangpur,Sunamganj,Naogaon,Narsingdi,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Pabna Police line,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-05,5,1,105,1,4,10,0,18,0,0,2,4,998,0,10,10,1,13,0,5,279,3,0,2,1,8,17,4,1,3,8,4,44,0,4,2,9,26,1,11,6,8,0,1,3,4,7,2,4,3,4,10,2,6,0,1,0,3,0,4,24,6,5,11,0,4
2020-06-06,2,6,47,1,5,14,0,8,0,0,1,1,715,1,6,3,0,22,1,1,208,1,5,0,2,10,3,6,5,4,5,5,20,1,0,3,2,16,1,2,4,5,2,2,1,5,4,0,0,3,1,10,2,3,0,0,1,1,0,7,20,2,3,12,0,2
2020-06-07,7,0,40,0,0,9,1,3,5,2,1,4,656,1,10,13,1,16,2,0,190,3,1,3,0,16,3,6,1,1,2,3,20,0,0,3,4,5,0,4,6,5,0,1,2,0,6,1,1,2,0,3,1,2,0,5,2,0,2,3,11,2,3,10,0,0
2020-06-08,8,0,49,0,1,8,4,5,1,0,5,1,516,0,4,7,0,15,4,1,141,0,0,0,2,4,9,3,0,0,7,1,16,0,0,5,1,4,1,0,5,3,3,0,0,1,0,1,3,6,0,4,0,7,0,0,0,1,0,7,8,2,0,0,0,0
2020-06-09,3,1,22,0,0,7,0,0,0,0,0,1,448,0,1,2,1,13,2,2,91,2,0,1,0,1,5,1,1,0,1,0,5,1,0,2,3,0,0,9,5,2,0,2,0,1,2,0,0,5,0,0,1,2,0,0,1,4,0,1,18,0,1,28,0,0
2020-06-10,10,0,26,0,0,3,0,9,1,0,5,0,311,1,4,6,0,7,1,3,84,0,0,1,2,4,1,1,3,4,2,4,3,0,1,0,2,4,1,2,0,0,0,0,0,6,0,1,0,1,1,5,1,1,0,1,0,1,0,0,4,4,1,6,0,0
2020-06-11,1,0,13,1,1,0,2,0,1,1,0,0,275,0,4,5,0,8,0,1,67,0,0,1,0,1,0,1,0,1,1,0,7,1,0,1,0,7,2,2,0,15,3,0,0,0,2,0,0,0,1,4,1,1,0,1,0,2,0,1,6,1,2,1,0,0
2020-06-12,1,0,14,0,1,0,0,4,0,0,2,1,261,0,2,4,0,7,0,1,70,0,0,0,1,4,3,0,0,1,0,0,9,0,1,3,4,4,0,2,1,2,0,2,0,1,3,0,0,1,0,1,0,5,0,1,0,1,0,1,1,0,5,4,0,0
2020-06-13,3,0,14,0,2,2,1,0,3,2,0,1,307,0,6,2,0,2,0,1,70,0,0,1,0,0,1,3,0,0,1,1,5,0,0,0,2,1,0,5,4,2,1,0,0,0,0,0,1,3,3,0,1,1,0,1,0,0,0,0,2,2,2,2,0,1
2020-06-14,1,0,22,0,0,6,0,0,0,0,0,3,265,0,3,0,0,7,3,0,48,0,0,1,1,4,2,0,0,0,0,1,6,0,0,2,2,3,1,7,0,1,0,0,0,3,2,0,1,6,1,5,0,2,0,2,1,0,0,1,11,2,0,6,0,1
2020-06-15,5,1,17,1,0,1,0,2,0,0,0,0,295,0,3,5,0,13,5,3,71,0,0,1,0,2,2,1,0,0,1,1,8,0,0,0,1,6,1,0,4,2,1,0,0,0,0,0,0,2,1,3,0,2,1,1,1,0,0,0,1,1,1,4,0,0
2020-06-16,1,0,18,1,1,4,0,7,0,0,0,0,311,0,3,1,3,4,0,3,64,0,0,0,0,1,1,1,1,0,2,0,7,0,1,0,3,0,1,4,0,0,2,0,1,0,1,0,1,0,2,0,0,5,0,0,0,1,0,0,3,5,1,6,0,2
2020-06-17,2,0,12,0,6,2,0,6,2,4,1,0,252,1,2,1,0,6,0,0,63,2,0,1,0,4,3,2,0,2,0,1,4,0,0,1,0,1,0,3,1,1,1,0,1,1,0,0,0,2,0,0,0,0,0,2,1,0,0,2,2,3,0,3,1,0
2020-06-18,2,0,43,2,4,4,0,7,3,7,0,8,787,1,8,5,2,25,0,5,237,4,5,3,1,16,5,0,7,3,4,2,6,0,2,7,2,12,1,14,2,5,0,0,5,4,1,0,0,7,2,6,1,2,0,0,0,2,1,3,7,14,2,13,0,2
2020-06-19,2,1,30,1,1,2,0,3,1,0,0,1,427,0,8,3,0,10,1,0,107,2,0,1,1,8,3,1,1,2,2,0,15,0,0,2,2,7,0,3,0,1,0,0,0,3,1,0,3,1,1,8,3,4,0,1,1,0,0,5,8,1,4,10,1,1
2020-06-20,0,0,10,3,2,2,0,2,4,0,1,1,350,1,6,2,0,2,0,2,80,0,2,2,0,7,3,3,1,0,1,5,7,0,0,2,0,0,0,3,3,1,0,1,1,1,0,0,1,2,1,5,0,0,0,0,1,0,1,1,8,1,3,5,1,3
2020-06-21,2,0,7,3,1,1,0,4,0,1,0,0,249,0,4,2,0,4,0,0,56,0,0,1,0,6,0,3,0,3,2,0,3,0,0,2,1,2,0,3,0,4,0,1,0,2,1,0,0,2,1,1,2,2,0,0,1,0,0,2,4,4,4,3,1,1
2020-06-22,3,0,9,0,5,1,2,2,0,1,0,0,228,0,4,2,0,4,0,1,53,1,0,2,0,1,0,2,0,1,2,0,9,1,0,2,0,3,0,3,0,1,0,0,0,0,3,0,0,2,1,0,0,3,0,0,1,0,0,2,2,1,0,0,1,1
2020-06-23,5,0,7,0,2,1,0,1,0,0,2,1,246,0,2,3,2,2,0,2,47,0,0,1,1,7,0,1,1,0,3,0,1,0,2,0,1,5,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,6,4,1,4,2,1,0
2020-06-24,1,1,10,0,4,1,2,4,0,1,0,2,225,1,2,0,0,1,0,0,66,0,0,0,0,2,3,1,0,0,1,0,7,0,1,3,0,7,0,0,1,1,1,0,0,0,1,1,0,2,1,1,0,1,0,0,1,0,1,0,2,0,1,1,1,0
2020-06-25,1,1,5,1,1,3,0,2,0,0,1,0,211,0,1,0,0,0,0,2,37,1,0,0,0,2,0,0,2,0,1,0,4,0,0,1,0,3,0,6,0,4,0,2,0,1,1,0,0,5,0,0,2,2,0,0,1,1,0,2,4,6,1,1,0,2
2020-06-26,1,0,9,0,1,1,0,1,0,0,0,2,161,2,7,6,0,1,0,1,32,3,1,0,0,2,1,2,0,0,0,0,3,0,0,3,3,2,1,5,0,0,0,1,0,0,0,1,2,2,0,2,0,1,0,0,0,1,0,1,3,1,1,2,0,0
