date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Pabna Police line,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-25,1,0,6,0,0,0,0,0,0,0,0,3,68,0,0,1,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-26,0,0,3,0,0,0,0,2,0,0,0,0,83,0,0,0,0,1,0,0,34,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-05-27,0,0,3,0,0,0,0,0,2,0,0,0,78,0,0,2,0,1,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,9,0,0,0,0,0,0,0,0,0,85,0,0,4,0,0,0,0,28,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-29,0,0,1,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1,0,1,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2020-05-30,0,0,2,0,0,0,0,0,0,0,0,0,97,0,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-05-31,0,0,2,0,0,1,0,0,0,0,0,0,87,0,0,0,0,2,0,0,34,0,1,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,2,0,0,0,0,1,0,0,0,0,93,0,0,0,0,4,0,0,34,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0
2020-06-02,0,0,2,1,0,1,0,1,0,0,1,0,89,0,0,0,0,4,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
2020-06-03,0,0,1,0,0,0,0,1,0,0,0,0,98,0,0,0,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3
2020-06-04,0,0,6,1,0,1,0,0,0,1,0,0,148,0,0,2,0,4,1,0,30,0,0,0,0,0,1,1,1,4,1,0,6,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,1,2,1,3,0,0
2020-06-05,5,0,26,0,1,1,0,11,0,0,1,0,293,0,1,6,1,9,0,0,69,0,0,0,0,6,3,5,3,2,0,2,14,0,0,1,0,5,1,0,3,4,0,1,0,0,2,1,0,0,1,3,0,2,0,1,0,0,0,2,4,4,3,1,0,0
2020-06-06,2,0,11,0,1,2,0,2,0,0,1,0,276,0,5,3,0,14,2,0,43,2,0,2,0,4,1,0,3,2,0,2,6,0,0,0,4,1,1,0,1,2,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,2,8,2,1,3,0,1
2020-06-07,4,1,8,1,2,4,2,0,1,0,0,0,270,1,1,1,1,15,1,1,61,0,0,0,0,0,4,5,2,2,0,1,4,0,0,0,2,7,0,0,1,2,0,1,1,0,1,0,0,0,2,1,0,3,0,2,2,0,1,1,4,0,0,1,0,0
2020-06-08,5,2,18,0,0,5,0,0,0,2,0,0,222,0,3,3,0,11,0,0,43,0,0,1,0,2,2,1,2,1,0,0,8,0,0,2,1,2,1,1,3,1,4,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,2,5,2,1,1,0,0
2020-06-09,1,0,12,0,0,4,0,1,0,0,0,0,198,0,1,5,1,3,0,1,35,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,4,1,1,1,0,0
2020-06-10,2,0,14,0,3,1,0,0,0,0,1,0,169,0,0,3,0,4,0,0,24,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1,0,3,0,0
2020-06-11,0,0,14,1,2,0,0,0,0,0,1,0,138,0,3,0,0,1,0,0,32,0,0,0,0,0,0,2,2,0,2,0,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,8,0,0,1,0,0,1,0,0,1,137,0,1,3,0,1,0,0,20,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,2,2,0,1,1,2,0,0,0,1,0,0,1,0,0,2,1,2,0,0,0,0,0,0,3,2,2,0,0,0
2020-06-13,1,0,7,0,0,1,0,2,0,0,0,0,119,0,3,3,1,0,0,1,25,0,0,0,0,2,2,0,0,0,0,1,4,0,0,2,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,1,1,1,0,2
2020-06-14,2,0,3,1,0,2,0,1,0,0,0,0,118,0,2,1,0,9,1,0,23,0,0,2,0,2,1,0,0,0,0,1,4,0,0,2,0,1,1,1,0,0,1,0,0,4,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2020-06-15,3,0,6,0,0,1,0,0,0,0,1,1,122,0,4,1,0,1,0,0,26,0,0,0,0,0,0,1,1,1,0,0,5,0,2,1,0,2,1,1,1,1,1,0,0,1,2,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,1,0,0
2020-06-16,0,0,2,1,0,1,0,0,0,0,1,0,120,0,4,0,0,4,0,0,23,1,0,0,0,2,0,0,2,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,4,0,5,0,1
2020-06-17,2,0,8,0,1,1,0,1,0,0,2,0,94,1,1,0,0,2,0,0,19,0,0,1,0,1,1,1,0,0,2,0,0,1,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,1,0,1,1,0
2020-06-18,0,0,15,0,0,0,0,0,0,1,0,1,209,0,2,4,2,10,1,0,42,0,1,0,1,1,4,1,0,1,0,0,0,1,0,0,0,4,0,3,2,0,0,0,0,0,0,1,1,0,10,1,0,3,0,1,0,0,0,0,4,1,0,4,2,0
2020-06-19,1,2,7,1,1,2,0,1,0,1,0,0,152,0,4,1,0,4,0,0,25,0,0,1,1,0,0,0,1,0,2,2,4,0,1,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,2,0,1,3,3,2,5,0,7,0,1
2020-06-20,3,0,7,2,0,0,0,0,0,0,0,2,167,0,3,3,1,1,0,0,28,0,1,1,0,0,1,0,3,0,1,3,2,0,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,1,0,1,2,0,4,0,0
2020-06-21,1,0,1,0,0,0,0,1,0,0,1,1,124,0,3,2,0,6,3,0,23,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2,2,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,3,0,1,1,0,1,0,0
2020-06-22,1,0,2,0,3,0,0,1,0,0,1,1,130,0,2,2,0,4,0,2,15,2,1,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,1,1,2,0,0,1,0,0,2,2,0,1,0,1,2
2020-06-23,4,0,7,0,1,0,0,0,0,0,0,0,129,0,1,0,0,5,0,2,19,0,0,0,0,2,0,1,0,1,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,1,7,2,1,0,3,0,0,0,0,1,0,1,4,1,0
2020-06-24,2,0,2,0,0,1,1,1,0,0,1,0,130,0,3,0,0,1,0,0,22,0,0,0,0,2,1,1,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-25,1,1,8,0,2,1,0,1,0,0,1,0,100,0,1,0,0,5,0,1,15,0,0,0,0,2,0,0,0,2,1,1,3,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
2020-06-26,0,0,8,0,0,4,0,0,0,0,2,0,89,0,2,5,0,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
