date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Sherpur,Pabna,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-10,10,0,36,0,1,4,0,5,1,0,3,0,518,0,4,6,0,18,4,0,84,0,1,3,0,4,3,3,0,2,2,3,12,0,0,0,3,3,1,2,2,0,6,2,0,1,0,1,0,2,4,10,1,0,0,0,3,2,2,9,3,1,2,1,1
2020-06-11,2,0,24,1,4,9,0,5,4,0,1,0,424,0,2,1,2,14,1,2,76,0,1,6,0,4,2,1,2,6,0,2,10,0,0,1,2,4,1,0,0,0,1,0,0,1,2,0,2,1,0,4,5,3,2,0,0,0,5,4,1,0,1,2,3
2020-06-12,1,0,35,0,4,5,0,5,1,1,2,4,314,1,1,3,1,5,0,0,72,0,1,0,0,2,1,3,2,6,0,0,10,0,0,1,4,4,0,3,1,0,3,0,0,3,2,0,1,3,1,4,3,2,0,1,0,2,2,4,3,2,5,0,0
2020-06-13,3,0,12,1,0,3,1,2,1,1,1,0,325,0,2,8,0,8,1,1,58,0,2,2,0,1,1,2,1,0,2,2,9,1,1,1,0,3,0,0,4,1,0,0,0,1,1,0,1,0,1,5,0,4,1,0,0,0,1,7,2,1,5,0,1
2020-06-14,2,0,13,1,2,0,0,2,0,0,2,0,349,0,2,1,0,9,1,0,62,0,0,1,0,3,0,10,1,2,3,1,9,0,0,1,2,2,1,5,0,3,4,0,3,1,0,1,0,9,0,6,1,5,0,0,1,0,1,5,1,0,3,0,2
2020-06-15,5,0,15,1,1,1,0,6,1,0,4,2,337,1,2,3,0,18,0,1,55,0,0,2,0,1,1,4,1,2,2,2,8,0,0,1,3,2,1,0,0,0,2,0,0,0,0,1,0,0,2,1,1,4,2,0,2,0,0,3,8,1,2,0,0
2020-06-16,3,0,9,0,0,3,0,2,1,0,1,0,356,0,6,2,0,5,1,2,63,0,1,1,0,1,2,1,1,6,4,2,6,2,0,0,3,4,0,2,0,1,0,1,0,2,0,1,0,5,1,3,0,5,0,0,1,0,0,0,1,0,5,0,1
2020-06-17,2,0,13,0,7,4,0,5,1,4,1,1,331,1,2,1,1,17,1,0,42,0,0,1,0,1,0,6,0,1,3,2,4,0,0,0,0,6,0,1,1,0,5,0,1,0,1,0,0,2,0,3,0,0,2,0,1,0,6,2,1,0,5,1,6
2020-06-18,6,0,54,0,1,6,1,8,0,2,1,1,850,0,10,15,2,36,3,2,160,0,3,9,0,6,7,11,1,9,9,1,16,3,2,1,3,8,0,11,8,1,2,0,1,0,5,2,2,4,1,8,2,6,1,0,4,1,4,17,11,0,14,0,6
2020-06-19,1,1,21,1,2,9,0,10,0,1,0,2,498,0,1,2,0,13,3,0,94,0,1,0,0,5,1,1,0,2,5,1,18,1,0,0,5,12,0,1,0,0,0,1,0,0,1,0,0,4,3,6,1,6,1,0,4,0,4,13,6,1,1,0,1
2020-06-20,1,0,16,4,1,3,0,4,1,0,3,0,440,0,5,6,1,3,1,0,81,0,1,2,1,7,2,5,1,4,3,4,7,1,0,1,2,3,2,1,3,1,1,1,1,0,2,1,2,5,0,3,0,8,0,0,0,0,0,7,2,2,7,0,0
2020-06-21,6,2,7,1,0,1,0,3,0,3,2,0,343,0,4,3,2,14,0,0,60,0,0,0,0,3,4,1,2,3,1,0,5,0,1,0,2,1,3,4,1,0,2,0,0,1,1,0,1,2,0,4,1,1,1,0,0,0,0,3,2,1,1,2,4
2020-06-22,5,0,26,0,2,2,0,4,3,2,1,2,374,1,3,4,0,9,1,2,52,2,1,0,4,2,1,0,1,2,2,1,5,1,0,0,8,0,1,11,3,0,3,1,1,1,4,0,0,3,0,4,1,6,0,1,0,1,2,3,3,0,7,1,0
2020-06-23,8,0,12,0,0,0,2,2,2,0,1,0,328,2,7,7,1,17,2,2,58,2,1,0,0,2,2,0,1,3,0,1,4,4,2,0,2,3,0,3,2,0,3,1,0,0,4,0,1,0,0,6,1,0,1,1,1,2,1,4,5,1,10,2,0
2020-06-24,7,2,8,0,0,3,0,3,3,0,0,0,299,0,4,0,0,4,0,0,52,1,0,0,0,7,1,5,1,4,1,0,7,0,0,1,1,4,0,2,2,0,6,0,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,1,1,1,4,1,1
2020-06-25,1,1,12,2,2,1,0,3,2,1,2,1,275,0,3,2,0,6,0,0,46,0,0,2,0,1,1,2,0,0,0,0,8,0,0,0,0,0,0,1,1,0,3,0,0,3,0,0,0,2,0,2,5,1,0,0,0,0,1,3,1,0,3,1,0
2020-06-26,1,1,7,0,0,7,1,2,0,0,1,0,275,0,3,7,0,5,0,0,49,0,0,0,0,1,0,1,2,1,3,1,7,0,1,2,0,4,0,2,2,0,4,1,1,1,1,3,0,1,0,0,2,0,1,0,2,0,2,1,0,3,3,1,1
2020-06-27,1,1,9,1,0,3,0,3,1,1,0,2,257,0,7,1,5,1,2,0,42,0,0,0,1,1,0,3,1,2,0,3,9,0,0,4,3,3,0,1,1,4,2,0,0,0,0,0,0,3,0,4,0,1,0,0,0,0,1,0,1,2,1,0,2
