date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Sylhet,Tangail,Chuadanga,Bagerhat,Feni,Magura,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Narail,Natore,Chandpur,Patuakhali,Rajbari,Jaipurhat,Gazipur,Jamalpur,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Faridpur,Dinajpur,Satkhira,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Gaibandha,Bhola,Barisal,Jessore,Lalmonirhat,Panchagarh
2020-06-09,21,1,0,4,0,2,1,0,42,1,1,2,0,7,2,11,7,0,0,4,0,6,0,1,2,0,5,2,3,8,6,2,12,1,1,8,3,0,14,0,0,0,22,2,1,651,4,136,1,2,3,0,1,2,5,4,1,3,3,0,0,6,4,0,1
2020-06-10,11,3,0,2,1,0,1,2,40,1,0,6,3,2,1,1,2,1,4,4,0,2,2,0,0,0,0,4,1,6,7,1,7,2,0,6,0,0,6,1,0,0,16,0,0,518,1,84,0,3,4,0,0,0,2,4,3,9,0,1,6,11,3,2,0
2020-06-11,12,1,0,3,3,1,0,0,20,3,0,0,0,2,1,6,1,1,0,2,1,0,1,0,2,0,8,1,3,5,1,1,6,5,0,1,0,0,9,2,0,0,17,2,0,454,1,76,2,0,2,1,0,2,0,4,5,3,1,5,2,4,1,0,0
2020-06-12,10,2,4,1,5,3,0,0,26,2,0,4,3,3,2,3,2,1,1,1,0,1,0,1,1,1,6,0,2,4,5,1,4,2,0,3,1,0,5,1,0,0,5,0,0,336,3,69,2,0,3,1,0,0,0,2,1,1,2,3,0,4,3,2,0
2020-06-13,9,1,0,5,0,0,0,0,24,1,0,0,0,1,1,4,1,2,1,2,1,3,0,0,1,0,0,1,1,3,5,0,4,1,1,7,1,0,3,1,1,0,5,1,1,325,1,61,1,0,1,0,0,1,2,1,2,3,0,0,2,5,2,0,1
2020-06-14,8,0,0,4,1,1,1,0,12,0,3,4,4,10,0,1,9,0,0,2,1,1,1,0,0,0,2,1,2,2,3,0,8,1,0,1,0,0,0,1,0,0,9,0,3,340,1,63,1,0,2,2,0,0,3,2,1,2,0,1,1,5,1,0,0
2020-06-15,9,1,2,4,2,0,1,0,16,0,0,2,1,4,1,2,0,0,2,2,0,0,1,0,0,1,2,0,3,5,2,0,3,0,0,3,0,0,0,1,0,0,21,1,0,335,0,54,1,3,2,1,0,2,2,2,1,5,0,1,2,2,7,0,0
2020-06-16,6,2,0,6,0,0,1,1,10,1,0,0,2,2,0,5,5,1,1,6,1,0,0,0,0,0,6,1,2,3,5,0,0,0,2,3,0,0,4,1,0,0,5,2,1,340,1,63,1,1,4,0,0,0,4,1,2,2,0,0,2,3,2,0,0
2020-06-17,4,0,1,0,6,0,0,0,12,2,1,5,1,6,0,5,2,0,0,2,0,1,0,0,0,1,1,1,1,5,4,1,1,6,0,1,4,0,3,6,0,0,16,0,0,345,1,47,0,0,0,0,0,2,3,1,1,2,0,0,2,3,1,0,0
2020-06-18,16,7,1,6,2,6,2,0,52,0,1,2,8,10,0,8,4,2,1,8,0,8,0,0,2,0,7,3,0,8,15,0,18,4,3,15,2,0,7,4,2,0,37,2,1,845,0,153,1,5,3,1,0,1,9,6,9,7,1,2,1,8,9,1,1
2020-06-19,16,1,1,5,2,1,0,1,24,0,0,0,4,2,1,11,4,2,3,3,1,0,0,0,1,0,4,2,1,9,1,0,11,2,1,1,1,0,5,3,0,0,10,0,0,488,0,90,0,2,4,0,1,1,3,5,0,1,2,1,1,5,8,0,0
2020-06-20,9,2,1,9,1,2,1,1,12,1,1,1,1,5,2,5,5,1,0,5,4,3,1,0,2,0,4,2,3,5,5,0,9,2,1,6,0,0,7,0,0,1,6,0,1,470,0,93,1,2,3,1,0,0,5,7,2,1,1,0,4,4,2,0,0
2020-06-21,3,4,0,1,0,1,0,0,8,0,0,2,3,1,1,1,2,0,0,4,1,1,5,0,1,0,3,0,2,3,3,2,3,0,0,4,3,0,1,4,1,0,14,0,0,310,1,54,1,0,2,0,2,1,0,2,0,4,2,0,0,3,1,0,0
2020-06-22,7,1,2,5,2,4,0,1,28,1,1,3,12,0,0,0,3,1,0,3,0,3,1,1,0,1,2,1,0,3,4,1,3,1,1,4,2,2,2,0,0,4,9,2,0,389,1,55,2,0,8,0,0,0,3,2,0,4,0,2,1,4,4,1,0
2020-06-23,4,1,0,1,0,4,0,1,13,4,0,3,3,0,1,3,0,1,0,7,0,2,0,1,1,2,3,2,2,3,11,2,3,2,2,3,0,2,0,0,2,0,17,2,0,343,0,55,1,1,2,0,0,1,0,3,0,8,0,1,1,7,5,2,2
2020-06-24,7,2,0,1,0,0,0,0,8,3,0,6,2,2,1,4,0,0,3,4,0,2,0,0,0,0,4,0,0,3,6,1,2,0,2,4,0,1,3,1,0,0,4,0,0,298,0,54,1,0,1,1,2,0,1,7,0,10,1,1,0,3,1,0,0
2020-06-25,7,1,1,1,2,0,0,0,11,2,0,3,1,5,0,0,2,0,0,2,2,1,0,0,0,0,0,0,1,3,3,1,3,1,0,2,1,0,1,0,0,0,6,0,0,279,1,46,0,0,0,0,1,0,0,1,2,1,0,5,0,2,1,0,0
2020-06-26,7,0,0,0,0,1,3,1,8,0,1,4,2,1,3,3,2,0,0,4,0,2,0,0,0,0,1,0,2,2,3,1,1,2,0,7,0,0,7,1,1,0,5,0,0,266,3,51,2,2,0,2,0,1,3,1,0,1,0,2,1,0,0,0,1
2020-06-27,10,0,2,1,0,0,0,0,9,1,0,2,1,2,2,3,3,0,0,6,1,1,0,0,0,0,2,2,0,3,1,0,0,1,0,1,1,0,3,1,0,1,1,0,4,250,0,40,1,0,3,4,2,0,0,1,0,1,2,0,3,4,1,0,0
