date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Sylhet,Tangail,Chapainawabganj,Feni,Bagerhat,Magura,Maulvibazar,Munshiganj,Chuadanga,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Rajbari,Jaipurhat,Gazipur,Patuakhali,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Madaripur,Bogra,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-05-23,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,39,0,15,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,53,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,72,0,19,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-28,3,0,0,1,0,0,0,0,3,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,56,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,0,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,68,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,73,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,57,0,15,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,64,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,61,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020-06-04,6,0,0,2,0,0,0,0,12,0,1,0,4,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,9,0,0,175,0,34,0,0,2,3,0,0,4,0,1,1,1,2,0,1,2,0,0
2020-06-05,10,0,0,3,2,1,2,2,28,2,2,8,3,9,7,3,0,4,3,0,5,1,2,1,3,1,1,2,1,7,5,0,12,1,1,2,3,1,2,4,0,0,6,1,0,443,1,91,3,0,0,0,1,0,3,1,3,0,2,10,0,1,3,0,0
2020-06-06,13,1,1,1,1,0,1,0,15,0,1,1,3,3,1,1,1,1,1,1,1,2,2,0,2,0,0,1,0,11,6,0,2,0,0,2,1,1,8,1,2,0,14,1,0,367,1,76,1,2,2,0,2,3,6,0,1,1,0,3,0,7,3,0,0
2020-06-07,12,0,0,2,1,6,0,0,19,1,2,2,2,1,7,1,0,3,0,0,2,2,3,0,1,0,3,1,0,3,4,0,4,0,0,1,1,1,5,1,0,0,12,1,0,297,0,54,0,0,0,2,0,0,1,2,9,3,0,2,0,0,1,6,1
2020-06-08,10,1,0,0,0,0,1,0,10,0,0,4,1,4,1,8,0,1,0,0,0,1,1,0,0,3,1,3,0,3,4,0,7,4,0,1,1,1,4,1,0,1,5,1,2,260,0,55,3,1,1,0,0,0,3,1,4,1,2,1,0,3,3,0,0
2020-06-09,21,3,0,1,3,1,0,0,10,1,2,1,1,2,3,0,0,1,0,1,2,1,0,0,0,0,0,0,0,4,3,0,5,1,0,2,0,2,7,1,0,2,6,1,0,244,1,27,0,0,2,2,1,0,1,0,4,0,0,3,1,0,2,0,0
2020-06-10,3,1,0,1,2,1,0,0,7,0,0,2,0,2,2,1,1,1,0,0,2,0,0,0,1,1,0,3,2,6,3,0,3,0,0,0,0,2,1,1,0,0,3,0,0,145,0,17,3,0,0,0,0,0,1,1,1,0,0,1,0,2,2,1,0
2020-06-11,6,0,0,0,0,1,0,0,3,0,0,0,1,2,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,1,0,2,0,0,144,0,24,0,0,1,0,1,0,1,0,2,2,0,1,0,0,0,0,0
2020-06-12,4,0,0,0,1,1,0,4,8,0,0,1,1,1,1,0,0,1,0,0,3,1,0,0,0,0,0,3,0,5,1,0,2,0,1,0,0,1,1,1,0,0,5,1,0,120,1,25,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0
2020-06-13,2,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,2,2,0,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,5,2,0,129,0,29,0,1,0,1,0,1,0,0,9,4,0,0,0,0,0,0,0
2020-06-14,2,0,1,0,1,2,1,0,10,0,0,0,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0,2,0,0,0,4,0,0,111,0,25,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0
2020-06-15,8,0,1,2,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,1,0,1,0,6,0,0,129,1,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
2020-06-16,1,0,1,1,1,2,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,6,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,2,0,122,0,23,0,0,1,0,0,0,0,0,4,3,1,0,0,4,1,0,0
2020-06-17,5,0,0,0,2,6,0,0,3,0,0,2,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0,0,0,2,1,0,0,0,3,2,0,99,1,24,0,1,1,0,0,0,0,0,3,0,0,2,0,2,0,0,0
2020-06-18,9,0,0,3,4,3,1,1,18,3,0,0,2,1,8,7,1,1,1,0,1,2,1,0,3,0,1,0,0,2,11,0,6,2,1,0,2,0,4,2,0,1,7,3,0,337,0,87,0,3,0,0,0,4,2,0,4,0,1,2,0,1,2,0,0
2020-06-19,5,0,1,0,3,1,0,0,4,0,0,0,2,1,3,1,0,2,0,1,0,1,1,0,0,0,0,1,0,5,3,0,3,2,1,0,0,1,3,0,0,1,3,2,1,199,0,39,1,0,3,0,0,1,1,0,2,0,1,2,1,0,1,0,0
