date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Tangail,Maulvibazar,Chuadanga,Bagerhat,Feni,Sylhet,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Rajbari,Jaipurhat,Gazipur,Patuakhali,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-06-07,12,2,0,1,1,4,2,0,17,3,4,2,6,2,1,4,0,4,0,6,4,2,0,2,1,0,1,1,1,5,8,0,6,2,1,3,1,1,5,8,0,3,12,2,1,411,2,109,0,2,1,0,0,0,0,4,1,4,2,6,2,2,0,8,3
2020-06-08,13,0,1,2,7,0,3,0,28,2,0,1,0,8,0,5,0,2,1,5,5,2,1,4,1,3,2,2,2,4,5,2,3,5,0,1,1,2,2,0,1,0,8,0,2,321,0,59,1,0,4,2,1,0,3,5,1,3,1,2,1,2,0,1,0
2020-06-09,2,1,0,2,1,0,0,0,10,2,0,1,3,3,0,1,1,0,1,4,0,4,0,0,0,0,2,0,1,2,5,1,5,0,0,1,0,0,7,4,0,0,7,0,1,247,1,53,0,3,0,2,1,2,1,2,0,3,3,3,1,2,0,3,0
2020-06-10,4,1,2,1,1,0,1,0,19,0,1,5,5,0,0,5,0,0,0,3,1,0,1,0,0,0,1,0,1,7,2,1,2,0,0,0,2,2,4,2,1,0,7,0,0,173,0,37,0,0,0,1,0,0,1,4,2,3,2,1,1,2,0,0,0
2020-06-11,3,0,2,0,3,0,0,0,6,0,0,3,0,1,1,1,0,2,0,0,1,0,1,0,3,1,1,1,1,0,2,0,2,1,0,2,0,0,0,1,0,1,5,0,0,175,0,29,2,0,2,0,1,0,1,1,0,1,0,2,0,0,4,0,0
2020-06-12,10,0,1,1,2,0,0,0,4,0,0,1,0,0,0,2,0,0,0,3,2,0,0,0,0,1,1,1,0,2,0,0,3,0,0,0,0,1,0,1,0,0,2,0,1,157,0,33,0,1,1,4,0,0,0,3,1,0,0,2,0,0,0,2,0
2020-06-13,1,0,0,1,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,2,1,1,1,1,0,0,0,0,2,1,2,0,7,0,0,1,0,0,1,2,0,0,4,3,0,139,0,29,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
2020-06-14,1,0,0,0,2,2,1,0,2,0,0,4,2,2,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,3,2,0,0,3,0,0,170,0,32,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,3,0,0,0,0,1,1,0,3,0,0,2,1,0,1,0,1,0,0,5,1,1,1,2,0,0,0,0,0,5,1,0,0,3,0,0,0,0,1,0,0,0,2,0,0,181,0,33,0,1,0,2,0,0,0,2,0,1,0,3,0,1,0,0,0
2020-06-16,7,0,0,3,0,0,0,0,1,0,0,2,6,0,0,5,1,0,0,3,2,0,1,2,0,0,4,1,2,6,0,0,2,1,0,2,0,0,2,1,1,1,7,1,0,132,2,35,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0
