date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Sylhet,Munshiganj,Feni,Tangail,Bagerhat,Chuadanga,Magura,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Patuakhali,Chandpur,Jamalpur,Narail,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-06-07,25,4,8,8,6,3,2,7,58,5,4,8,13,3,3,16,8,15,13,2,9,5,3,4,2,0,7,3,2,22,16,4,22,4,1,23,3,5,15,5,1,5,34,1,4,1197,2,272,8,5,11,5,4,2,11,12,3,4,10,5,3,11,14,4,3
2020-06-08,23,3,4,8,2,4,4,0,64,4,5,8,7,17,1,14,6,21,4,1,2,0,1,2,1,1,1,5,5,10,9,5,28,15,1,22,5,2,12,7,3,1,26,0,0,917,4,194,5,0,4,3,3,1,9,10,4,5,14,4,3,4,5,1,1
2020-06-09,13,2,2,9,2,1,3,1,27,1,1,7,1,5,0,11,7,5,8,0,2,0,9,2,3,0,1,4,4,9,14,1,38,0,2,16,7,0,17,3,1,6,21,1,5,728,3,143,1,5,3,2,7,0,0,4,5,1,6,5,1,3,5,3,0
2020-06-10,7,5,3,5,3,3,1,1,19,2,0,6,5,2,3,13,2,6,4,8,0,0,6,1,0,0,3,5,2,8,7,1,9,4,3,4,1,3,8,2,0,2,7,1,0,613,2,109,2,4,1,3,1,1,2,8,1,2,13,2,4,7,2,0,0
2020-06-11,6,8,2,2,5,1,4,1,28,3,3,1,3,0,1,10,0,4,3,2,1,1,1,2,0,0,1,0,0,5,8,0,4,1,0,3,0,1,7,0,0,0,8,1,0,478,2,70,4,2,4,0,3,0,1,4,1,0,5,4,0,11,4,2,0
2020-06-12,16,0,1,4,4,1,2,3,19,0,0,4,3,3,0,2,3,2,2,1,3,0,2,0,2,0,4,1,1,4,1,2,9,1,1,2,1,0,3,3,0,0,13,0,1,417,1,68,1,0,3,2,3,0,1,8,5,2,7,3,3,0,7,1,0
2020-06-13,5,0,0,3,1,1,0,1,13,2,0,1,4,2,0,5,3,4,2,0,1,1,1,0,1,1,3,0,4,5,6,0,7,1,0,2,0,0,3,1,0,0,7,0,1,350,1,49,1,0,1,2,2,0,2,5,2,0,9,3,1,1,0,2,1
2020-06-14,4,2,0,4,1,2,0,3,9,1,3,0,5,4,3,1,1,1,1,1,0,1,1,0,0,1,2,4,0,3,3,1,5,4,3,5,1,0,4,1,0,1,9,0,2,353,2,66,1,1,2,2,1,1,1,5,0,1,2,2,0,2,2,2,1
2020-06-15,14,0,1,13,4,1,1,0,15,2,0,3,3,1,0,7,1,3,1,2,1,1,2,0,0,1,4,5,0,2,3,0,3,1,0,10,0,1,4,1,0,0,12,0,0,435,0,77,4,1,2,2,2,3,3,6,2,0,1,0,2,6,1,0,0
2020-06-16,8,3,3,3,4,0,0,0,14,1,0,6,4,4,0,7,0,2,6,0,0,0,1,0,0,0,1,2,3,1,1,0,3,3,1,2,1,3,2,2,0,1,7,2,1,403,0,77,2,3,3,4,1,0,6,10,6,2,4,2,1,8,3,0,1
2020-06-17,8,0,1,2,4,2,5,1,7,1,0,8,8,4,0,11,0,3,1,2,0,0,1,1,0,2,0,0,0,8,0,0,6,2,0,6,2,3,1,1,5,1,14,0,0,337,3,65,2,3,3,2,1,1,1,1,2,0,6,0,4,2,3,1,0
2020-06-18,19,5,3,5,13,1,8,1,55,0,5,6,7,10,3,14,14,14,16,7,4,1,4,1,1,2,7,2,1,6,17,1,20,11,2,15,3,1,8,8,8,3,30,2,1,1057,2,213,5,7,6,4,1,3,14,14,7,2,13,6,3,23,5,4,0
2020-06-19,10,3,2,2,6,2,0,0,17,3,0,3,7,0,0,4,1,6,2,3,3,2,6,1,1,0,3,2,1,4,10,0,12,5,1,4,3,2,3,4,4,1,12,2,0,588,2,106,4,4,4,5,3,1,3,12,4,1,6,1,1,11,6,3,0
2020-06-20,9,3,1,5,2,1,0,0,20,5,1,3,3,5,1,8,0,5,4,1,1,3,0,2,1,1,3,0,0,9,7,1,7,1,0,1,0,0,0,1,0,1,4,0,1,512,0,91,0,5,6,1,0,0,6,7,2,1,4,1,0,6,12,0,0
2020-06-21,3,1,0,1,1,0,0,0,9,0,0,10,4,2,1,3,1,7,5,1,0,1,1,0,1,0,3,1,0,3,8,2,4,1,0,2,1,2,1,1,0,0,11,0,0,320,2,61,1,3,5,8,0,2,0,5,1,2,1,3,0,1,1,2,0
2020-06-22,9,0,0,5,5,0,4,2,12,2,1,8,2,3,1,3,1,1,1,0,2,2,0,0,0,1,3,0,0,9,3,1,2,2,0,6,4,1,4,0,0,2,8,1,0,420,0,45,0,3,2,1,0,1,4,5,3,2,9,2,0,2,5,0,1
2020-06-23,10,2,1,3,0,0,1,1,7,1,1,6,1,2,1,11,4,1,5,6,1,0,5,0,1,0,3,1,3,3,3,2,2,12,1,3,1,0,1,2,0,2,12,1,1,338,2,52,2,2,2,0,4,0,2,4,0,0,2,4,1,2,4,5,0
