date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Magura,Munshiganj,Feni,Bagerhat,Sylhet,Tangail,Chuadanga,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Narail,Natore,Chandpur,Jamalpur,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Pabna Police line,Bogra,Madaripur,Barguna,Brahmanbaria,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-05-28,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,79,0,22,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-05-29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,90,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,101,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,1,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,89,0,33,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-01,3,0,0,5,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,88,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,4,0,0,94,0,30,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-06-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,3,0,2,0,0,91,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,3,1,0,0,0,0,0,0,4,0,0,2,0,1,0,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,4,0,0,125,0,31,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0
2020-06-05,16,0,0,2,1,1,2,0,28,0,0,4,0,3,1,0,3,1,0,5,1,0,3,0,2,0,3,1,1,4,1,0,4,2,0,8,1,0,1,0,0,0,6,0,0,307,0,57,1,0,0,1,0,1,3,0,6,0,1,5,3,2,0,4,0,0
2020-06-06,6,0,0,1,1,0,0,1,9,0,0,2,0,1,1,0,1,5,2,1,2,0,1,0,0,0,3,2,0,9,4,0,8,2,0,3,0,2,2,0,1,0,15,0,0,271,0,54,5,0,4,0,0,0,2,0,4,2,0,2,2,2,0,1,0,0
2020-06-07,5,0,0,3,2,0,1,1,9,1,1,2,0,4,0,1,1,1,0,5,2,0,0,1,0,1,2,1,1,0,1,0,3,0,0,1,0,0,4,1,0,0,17,0,0,272,0,59,5,1,2,0,0,2,2,0,0,0,1,3,1,1,0,1,1,1
2020-06-08,8,0,0,0,0,1,1,0,18,0,0,1,1,2,1,0,3,3,0,3,0,0,0,1,0,0,2,0,0,0,1,0,6,3,0,3,2,0,5,0,0,0,11,0,2,225,0,44,1,2,1,0,0,0,1,0,1,1,0,6,2,0,1,2,0,1
2020-06-09,1,0,0,2,0,1,0,0,12,0,0,3,0,1,0,0,3,1,0,6,1,0,1,0,0,0,1,0,0,0,1,0,4,1,0,5,0,0,4,1,0,0,3,1,2,213,0,35,0,0,0,2,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2020-06-10,1,0,0,1,3,0,0,0,15,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,3,0,4,1,0,3,0,0,1,0,0,0,4,0,0,160,0,28,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0
2020-06-11,3,2,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,134,0,30,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
2020-06-12,1,0,1,2,1,0,0,0,15,1,0,2,2,0,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,143,1,20,0,0,1,0,0,0,0,0,4,0,0,0,2,1,1,2,0,0
2020-06-13,4,1,0,1,0,0,0,0,7,0,0,0,1,2,0,0,0,3,0,5,0,0,1,0,1,0,0,0,0,2,1,0,2,0,0,3,0,0,1,1,2,0,1,0,0,125,0,21,0,0,2,2,0,0,0,0,2,0,1,1,1,1,2,1,0,0
2020-06-14,4,0,0,1,0,2,1,0,3,0,0,0,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2,0,0,0,8,0,1,119,2,26,0,0,0,2,0,0,0,0,1,2,0,2,1,1,0,0,0,0
2020-06-15,3,0,1,0,0,1,2,0,6,0,0,1,1,0,1,0,1,4,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,2,1,124,2,26,1,0,0,1,1,0,1,1,1,0,0,3,1,0,0,0,0,0
2020-06-16,6,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,4,0,2,0,0,0,0,0,0,2,0,1,0,5,0,1,0,2,0,0,1,1,0,1,0,4,1,0,116,1,24,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0
2020-06-17,0,2,0,0,1,0,0,0,7,0,0,1,0,1,0,0,0,1,0,2,3,0,0,0,0,1,0,0,2,1,0,1,0,3,1,0,0,0,0,0,0,0,2,0,0,100,2,19,1,0,0,1,0,0,0,0,1,1,0,2,2,0,0,1,0,0
