date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Sylhet,Tangail,Munshiganj,Chapainawabganj,Bagerhat,Feni,Maulvibazar,Chuadanga,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-06-01,4,0,1,0,1,0,0,1,5,0,0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,225,0,43,1,0,0,0,0,0,5,2,0,2,0,1,0,0,1,0,0
2020-06-02,1,0,0,0,0,1,0,0,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,3,0,0,179,0,52,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020-06-03,3,0,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,3,0,4,0,3,0,0,199,0,39,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0
2020-06-04,10,1,0,0,1,1,0,1,30,3,1,4,9,6,8,0,2,0,1,1,4,0,1,0,1,1,5,1,1,3,4,0,8,2,1,1,0,1,6,3,0,0,8,2,1,473,1,143,0,5,5,2,2,1,5,4,0,0,0,3,1,1,0,1,2
2020-06-05,44,3,7,18,2,9,1,7,148,6,4,18,12,20,20,7,8,1,1,12,5,1,1,3,2,4,14,3,4,11,11,5,17,4,1,9,5,6,8,11,5,1,34,3,3,1488,5,400,4,7,14,6,6,4,7,12,5,9,2,12,3,8,3,2,0
2020-06-06,38,2,5,4,3,9,5,1,75,5,2,4,6,12,7,11,2,1,3,14,4,1,1,7,3,0,8,3,3,16,10,3,24,5,1,5,0,4,11,5,4,2,38,2,0,1117,4,337,13,5,3,5,1,3,7,13,2,5,1,11,0,10,3,0,2
2020-06-07,23,1,6,6,3,6,4,0,62,4,10,8,11,4,11,7,3,3,1,10,0,8,4,1,1,1,9,3,0,13,8,1,14,4,1,1,1,3,10,13,3,0,29,1,2,943,5,238,4,4,5,5,1,2,12,22,2,7,2,10,3,5,2,0,3
2020-06-08,24,0,4,6,5,0,4,0,46,5,0,13,9,5,9,12,7,1,0,8,1,2,0,1,1,0,5,4,2,10,6,1,9,6,1,3,1,2,8,4,2,0,12,1,3,730,3,207,5,2,9,4,0,0,3,10,0,6,2,2,2,2,5,0,3
2020-06-09,19,1,3,11,2,2,0,0,32,1,2,3,10,7,2,3,2,0,0,3,2,0,4,0,1,0,3,3,1,11,5,2,21,0,1,4,0,2,8,4,0,0,13,0,3,597,1,136,1,1,5,3,0,0,6,5,2,4,1,4,1,1,1,2,1
2020-06-10,6,2,0,5,2,1,2,1,27,0,0,7,3,2,8,2,0,5,5,7,2,0,0,1,1,0,2,5,1,9,8,3,15,0,0,2,0,4,3,1,1,1,9,0,0,475,0,107,3,1,5,1,0,1,3,2,0,5,1,3,3,2,3,1,1
